Organization Name,Company Homepage URL
Zypp Electric,https://zypp.app
Zolve,https://zolve.com
Zerodha,https://zerodha.com
Zeo Route Planner,https://zeorouteplanner.com
Zealth,https://zealth-ai.com
Yenmo,https://yenmo.in
Yellow.ai,https://yellow.ai
yBANQ,https://ybanq.com
Zydus Wellness Ltd,https://www.zyduswellness.in
Zydus Lifesciences Ltd,https://www.zyduslife.com
Zupee,https://www.zupee.com
Zomato/Eternal,https://www.zomato.com
ZOKO,https://www.zoko.io
Zoho,https://www.zoho.com
zingbus,https://www.zingbus.com
ZiffyHomes,https://www.ziffyhomes.com
Zetwerk,https://www.zetwerk.com
Zepto,https://www.zeptonow.com
Zenwork,https://www.zenwork.com
Zen Technologies Ltd,https://www.zentechnologies.com
Zensar Technolgies Ltd,https://www.zensar.com
Zee Entertainment Enterprises Ltd,https://www.zee.com
Zaggle,https://www.zaggle.in
Yulu,https://www.yulu.bike
YourQuote,https://www.yourquote.in
Yes Bank Ltd,https://www.yesbank.in
Xpressbees,https://www.xpressbees.com
xPay,https://www.xpaycheckout.com
Wow Skin Science,https://www.wowskinscienceindia.com
Wockhardt Ltd,https://www.wockhardt.com
Wipro Ltd,https://www.wipro.com
Whirlpool of India Ltd,https://www.whirlpoolindia.com
WheelStreet,https://www.wheelstreet.com
Welspun Living Ltd,https://www.welspunliving.com
Welspun Corp Ltd,https://www.welspuncorp.com
Waybill,https://www.waybill.to
WareIQ,https://www.wareiq.com
Wakefit,https://www.wakefit.co
Waaree Energies Ltd,https://www.waaree.com
Voltas Ltd,https://www.voltas.com
Volopay,https://www.volopay.com
Vodafone Idea Ltd,https://www.vodafoneidea.com
Vishal Mega Mart Ltd,https://www.vishalmegamart.com
Vijaya Diagnostic Centre Ltd,https://www.vijayadiagnostic.com
Veera Health,https://www.veerahealth.com
Vedantu,https://www.vedantu.com
Vedanta Ltd,https://www.vedantalimited.com
Vayana Network,https://www.vayana.com
Varun Beverages Ltd,https://www.varunbeverages.com
Vardhman Textiles Ltd,https://www.vardhman.com
UTI Asset Management Company Ltd,https://www.utimf.com
Usha Martin Ltd,https://www.ushamartin.com
UrbanKisaan,https://www.urbankisaan.com
Urban Company,https://www.urbancompany.com
Urban Company Ltd,https://www.urbancompany.com
UPL Ltd,https://www.upl-ltd.com
upGrad,https://www.upgrad.com
Unschool,https://www.unschool.in
UNO Minda Ltd,https://www.unominda.com
United Breweries Ltd,https://www.unitedbreweries.com
Uniphore,https://www.uniphore.com
Union Bank of India,https://www.unionbankofindia.co.in
Ultraviolette Automotive,https://www.ultraviolette.com
UltraTech Cement Ltd,https://www.ultratechcement.com
Ultrahuman,https://www.ultrahuman.com
UCO Bank,https://www.ucobank.com
TVS Motor Company Ltd,https://www.tvsmotor.com
Turtlemint,https://www.turtlemint.com
Wingman,https://www.trywingman.com
Truffle AI,https://www.trytruffle.ai
Truemeds,https://www.truemeds.in
True Balance,https://www.truebalance.io
Triveni Turbine Ltd,https://www.triveniturbines.com
Trident Ltd,https://www.tridentindia.com
Trent Ltd,https://www.trentlimited.com
Travel Food Services Ltd,https://www.travelfoodservices.com
Transformers And Rectifiers (India) Ltd,https://www.transformerindia.com
Torrent Power Ltd,https://www.torrentpower.com
Torrent Pharmaceuticals Ltd,https://www.torrentpharma.com
Titan Company Ltd,https://www.titancompany.in
Titagarh Rail Systems Ltd,https://www.titagarh.in
Timken India Ltd,https://www.timkenindia.com
Tube Investments of India Ltd,https://www.tiindia.com
Thunderpod,https://www.thunderpod.com
The Sleep Company,https://www.thesleepcompany.in
Thermax Ltd,https://www.thermaxglobal.com
Phoenix Mills Ltd,https://www.thephoenixmills.com
Leela Palaces Hotels & Resorts Ltd,https://www.theleela.com
Tejas Networks Ltd,https://www.tejasnetworks.com
Tega Industries Ltd,https://www.tegaindustries.com
Techno Electric & Engineering Company Ltd,https://www.technoelectric.com
Tech Mahindra Ltd,https://www.techmahindra.com
TechBiz,https://www.techbiz.app
Tata Consultancy Services Ltd,https://www.tcs.com
TBO Tek Ltd,https://www.tbo.com
Tata Teleservices (Maharashtra) Ltd,https://www.tatatelebusiness.com
Tata Technologies Ltd,https://www.tatatechnologies.com
Tata Steel Ltd,https://www.tatasteel.com
Tata Power Co. Ltd,https://www.tatapower.com
Tata Motors Ltd,https://www.tatamotors.com
Tata Elxsi Ltd,https://www.tataelxsi.com
Tata Consumer Products Ltd,https://www.tataconsumer.com
Tata Communications Ltd,https://www.tatacommunications.com
Tata Chemicals Ltd,https://www.tatachemicals.com
Tata Capital Ltd,https://www.tatacapital.com
TagMango,https://www.tagmango.com
Taali Inc,https://www.taalifoods.com
Syrma SGS Technology Ltd,https://www.syrmasgs.com
Syngene International Ltd,https://www.syngeneintl.com
Swiggy,https://www.swiggy.com
Swiggy Ltd,https://www.swiggy.com
Swan Corp Ltd,https://www.swan.co.in
Suzlon Energy Ltd,https://www.suzlon.com
Supreme Petrochem Ltd,https://www.supremepetrochem.com
Supreme Industries Ltd,https://www.supreme.co.in
Sun TV Network Ltd,https://www.suntv.in
Sun Pharmaceutical Industries Ltd,https://www.sunpharma.com
Sundaram Finance Ltd,https://www.sundaramfinance.in
SUGAR,https://www.sugarcosmetics.com
Streak,https://www.streakcard.com
Stashfin,https://www.stashfin.com
Star Health and Allied Insurance Company Ltd,https://www.starhealth.in
Stanza Living,https://www.stanzaliving.com
Stader Labs,https://www.staderlabs.com
SRF Ltd,https://www.srf.com
Square Yards,https://www.squareyards.com
Spinny,https://www.spinny.com
SpadeWorks,https://www.spadeworks.co
Sonata Software Ltd,https://www.sonata-software.com
Sona BLW Precision Forgings Ltd,https://www.sonacomstar.com
Solar Industries India Ltd,https://www.solarindustries.com
Sobha Ltd,https://www.sobha.com
Snitch,https://www.snitch.com
Smartron,https://www.smartron.com
Skyroot,https://www.skyroot.in
SJVN Ltd,https://www.sjvn.nic.in
Simple Energy,https://www.simpleenergy.in
Signatureglobal (India) Ltd,https://www.signatureglobal.in
Siemens Energy India Ltd,https://www.siemens-energy.com/in/en.html
Siemens Ltd,https://www.siemens.com/in/en.html
Shyam Metalics and Energy Ltd,https://www.shyammetalics.com
Shriram Finance Ltd,https://www.shriramfinance.in
Shree Cement Ltd,https://www.shreecement.com
Shiprocket,https://www.shiprocket.in
Shipping Corporation of India Ltd,https://www.shipindia.com
Shadowfax,https://www.shadowfax.in
Seawise Capital,https://www.seawisecapital.com
Sculpt,https://www.sculptcosting.com
Schaeffler India Ltd,https://www.schaeffler.co.in
Scaler Academy,https://www.scaler.com
SBI Life Insurance Company Ltd,https://www.sbilife.co.in
SBI Cards and Payment Services Ltd,https://www.sbicard.com
SBFC Finance Ltd,https://www.sbfc.com
SaveIN,https://www.savein.money
Sarvam AI,https://www.sarvam.ai
SarvaGram,https://www.sarvagram.com
Saregama India Ltd,https://www.saregama.com
Sarda Energy and Minerals Ltd,https://www.sardaenergy.com
Sapphire Foods India Ltd,https://www.sapphirefoods.in
Sammaan Capital Ltd,https://www.sammaancapital.com
Sai Life Sciences Ltd,https://www.sailife.com
Steel Authority of India Ltd,https://www.sail.co.in
Rail Vikas Nigam Ltd,https://www.rvnl.org
Rupeek,https://www.rupeek.com
R R Kabel Ltd,https://www.rrkabel.com
Rowboat Labs,https://www.rowboatlabs.com
Route Mobile,https://www.routemobile.com
Rivigo,https://www.rivigo.com
Ritivel,https://www.ritivel.com
RITES Ltd,https://www.rites.com
Ripplr,https://www.ripplr.in
Reliance Industries Ltd,https://www.ril.com
RHI MAGNESITA INDIA LTD,https://www.rhimagnesitaindia.com
Retape,https://www.retape.ai
RENEE Cosmetics,https://www.reneecosmetics.in
Reliance Power Ltd,https://www.reliancepower.co.in
Refyne,https://www.refyne.co.in
Redington Ltd,https://www.redingtongroup.com
Rebel Foods,https://www.rebelfoods.com
RDash,https://www.rdash.io
RBL Bank Ltd,https://www.rblbank.com
Raphe mPhibr,https://www.raphe.com
Ramkrishna Forgings Ltd,https://www.ramkrishnaforgings.com
The Ramco Cements Ltd,https://www.ramcocements.in
Rainbow Childrens Medicare Ltd,https://www.rainbowhospitals.in
Railtel Corporation Of India Ltd,https://www.railtel.in
Radico Khaitan Ltd,https://www.radicokhaitan.com
Physicswallah,https://www.pw.live
Physicswallah Ltd,https://www.pw.live
PVR INOX Ltd,https://www.pvrinox.com
Purple Style Labs,https://www.purplestylelabs.com
PTC Industries Ltd,https://www.ptcil.com
PropReturns,https://www.propreturns.com/
Progcap,https://www.progcap.com
Pristyn Care,https://www.pristyncare.com
Prime Focus Ltd,https://www.primefocus.com
Prestige Estates Projects Ltd,https://www.prestigeconstructions.com
Premier Energies Ltd,https://www.premierenergies.com
Practo,https://www.practo.com
Power Grid Corporation of India Ltd,https://www.powergrid.in
Postman,https://www.postman.com
Poonawalla Fincorp Ltd,https://www.poonawallafincorp.com
Poly Medicure Ltd,https://www.polymedicure.com
Polycab India Ltd,https://www.polycab.com
PolicyBazaar,https://www.policybazaar.com
PNB Housing Finance Ltd,https://www.pnbhousing.com
Plum,https://www.plumhq.com
Pixxel,https://www.pixxel.space
Pixis,https://www.pixis.ai
Piramal Pharma Ltd,https://www.piramalpharma.com
Piramal Finance Ltd,https://www.piramalfinance.com
Pine Labs Ltd,https://www.pinelabs.com
PI Industries Ltd,https://www.piindustries.com
Pidilite Industries Ltd,https://www.pidilite.com
PhonePe,https://www.phonepe.com
PharmEasy,https://www.pharmeasy.in
Pfizer Ltd,https://www.pfizerindia.com
Power Finance Corporation Ltd,https://www.pfcindia.com
Petronet LNG Ltd,https://www.petronetlng.com
Persistent Systems Ltd,https://www.persistent.com
Pernia Pop-Up Shop,https://www.perniaspopupshop.com
Peoplebox.ai,https://www.peoplebox.ai
PCBL Chemical Ltd,https://www.pcblltd.com
PB Fintech Ltd,https://www.pbfintech.in
Paytm,https://www.paytm.com
Paymate,https://www.paymate.co.in
Patanjali Foods Ltd,https://www.patanjalifoods.com
Park+,https://www.parkplus.io
Paradeep Phosphates Ltd,https://www.paradeepphosphates.com
Page Industries Ltd,https://www.pageind.com
Open,https://www.open.money
Oil & Natural Gas Corporation Ltd,https://www.ongcindia.com
